type,policy_logps,reference_logps,rewards,lengths
chosen,-109.78726196289062,-71.01829528808594,-3.876896619796753,8
rejected,-77.77870178222656,-13.424880981445312,-6.43538236618042,-9
chosen,-86.91031646728516,-79.0845718383789,-0.782574474811554,37
rejected,-226.38104248046875,-203.85568237304688,-2.2525360584259033,73
chosen,-100.42517852783203,-67.18106079101562,-3.3244118690490723,-200
rejected,-198.64450073242188,-165.08419799804688,-3.356030225753784,-146
chosen,-26.227148056030273,-18.91823959350586,-0.7308908700942993,-5
rejected,-31.99560546875,-21.66061782836914,-1.033498764038086,-2
chosen,-374.6936950683594,-325.5340576171875,-4.915963649749756,-212
rejected,-163.87242126464844,-112.00333404541016,-5.186908721923828,-310
chosen,-78.12406158447266,-44.759429931640625,-3.336463212966919,-145
rejected,-210.1656494140625,-180.1675567626953,-2.9998092651367188,-97
chosen,-570.4739990234375,-507.86151123046875,-6.26124906539917,223
rejected,-222.51869201660156,-143.77310180664062,-7.874558925628662,61
chosen,-128.13145446777344,-106.88502502441406,-2.124643087387085,-51
rejected,-107.02420043945312,-80.41065216064453,-2.6613547801971436,-52
chosen,-72.74907684326172,-60.682945251464844,-1.2066131830215454,18
rejected,-21.060762405395508,-10.067660331726074,-1.099310278892517,-11
